timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz], utilization.memory [%]
2024/05/07 13:44:35.036, 43, 200.35 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.049, 43, 200.63 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.065, 43, 200.63 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.076, 43, 200.92 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.089, 43, 200.92 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.105, 44, 200.92 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.116, 44, 199.70 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.129, 44, 199.23 W, 1335 MHz, 47 %, 850 MHz, 1335 MHz, 22 %
2024/05/07 13:44:35.145, 44, 199.23 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.156, 44, 199.40 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.169, 44, 199.40 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.185, 44, 199.40 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.196, 44, 199.29 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.209, 44, 199.38 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.225, 44, 199.38 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.236, 44, 199.48 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.249, 44, 199.57 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.266, 44, 199.57 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.277, 44, 199.96 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.290, 44, 199.86 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.306, 44, 199.86 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 49 %
2024/05/07 13:44:35.316, 44, 200.30 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.329, 44, 200.59 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.346, 44, 200.59 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.356, 44, 200.83 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.369, 44, 200.79 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.386, 44, 200.79 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.397, 44, 195.91 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
2024/05/07 13:44:35.409, 44, 197.43 W, 1335 MHz, 100 %, 850 MHz, 1335 MHz, 50 %
