timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 15:40:30.925, 49, 47.28 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.927, 45, 41.71 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.930, 46, 51.36 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:30.934, 45, 39.98 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.037, 49, 47.38 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.040, 45, 41.75 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.043, 46, 51.39 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.046, 45, 40.14 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.148, 49, 47.42 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.151, 45, 41.84 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.154, 46, 51.41 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.156, 45, 40.26 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.262, 49, 47.33 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.265, 45, 41.97 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.267, 46, 51.45 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:31.270, 45, 40.28 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
