timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz]
2024/05/07 21:09:24.330, 39, 7.53 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.333, 39, 10.03 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.437, 39, 5.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.440, 38, 8.30 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.443, 39, 7.70 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.447, 39, 9.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.550, 39, 5.32 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.554, 38, 8.55 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.557, 39, 7.61 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.561, 39, 10.05 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.664, 39, 5.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.667, 38, 8.20 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.671, 39, 7.58 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.674, 39, 10.42 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.778, 39, 5.32 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.781, 38, 8.07 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.784, 39, 7.52 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.788, 38, 10.01 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.891, 39, 5.33 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.895, 38, 8.40 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.898, 39, 7.62 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:24.902, 39, 10.09 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.005, 39, 5.33 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.009, 38, 8.23 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.012, 39, 7.63 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.019, 38, 10.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.122, 39, 5.31 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.126, 38, 8.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.129, 39, 7.45 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.133, 39, 10.05 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.236, 39, 5.21 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.240, 38, 8.21 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.243, 39, 7.47 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.246, 39, 9.81 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.350, 39, 5.47 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.353, 38, 8.40 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.357, 39, 7.46 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.360, 39, 9.73 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.463, 39, 5.10 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.467, 38, 8.31 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.470, 39, 7.52 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.474, 39, 9.91 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.577, 39, 5.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.581, 38, 8.07 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.584, 39, 7.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.588, 39, 9.90 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.691, 39, 5.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.695, 38, 8.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.698, 39, 7.42 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.701, 39, 10.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.805, 39, 5.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.808, 38, 8.31 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.812, 39, 7.59 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.815, 39, 9.94 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.919, 39, 5.49 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.922, 38, 8.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.925, 39, 7.61 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:25.929, 38, 9.82 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.032, 39, 5.29 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.036, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.039, 39, 7.86 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.042, 39, 9.87 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.146, 39, 5.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.149, 38, 8.39 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.153, 39, 7.77 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.156, 39, 9.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.259, 39, 5.16 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.263, 38, 8.30 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.266, 39, 7.57 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.269, 39, 9.71 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.373, 39, 5.12 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.376, 38, 8.52 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.380, 39, 7.62 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.383, 39, 10.01 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.487, 39, 5.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.490, 38, 8.41 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.493, 39, 7.58 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.496, 38, 9.84 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.600, 39, 5.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.603, 38, 8.28 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.607, 39, 7.62 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.610, 39, 9.93 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.714, 39, 5.38 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.717, 38, 8.49 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.720, 39, 7.40 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.724, 39, 10.07 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.827, 39, 5.31 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.831, 38, 8.30 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.835, 39, 7.24 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.838, 39, 10.01 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.942, 39, 5.43 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.945, 38, 8.49 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.949, 39, 7.73 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:26.952, 38, 9.85 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:27.055, 39, 4.95 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:27.059, 38, 8.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:27.062, 39, 7.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:27.065, 38, 9.55 W, 300 MHz, 0 %, 405 MHz, 300 MHz
